name,degrees,education,occupations,time_in_space,interests,nationality,age
Peggy Whitson,Bachelor of Science degree; Doctor of Philosophy (PhD),"Bachelor of Science in Biology and Chemistry (Iowa Wesleyan University, 1981); PhD in Biochemistry (Rice University, 1986)",Biochemistry researcher; Astronaut; NASA Chief Astronaut; Commander of International Space Station; Director of Human Space Flight for Axiom Space,"695 days, 7 hours and 4 minutes",,United States,65
Pete Conrad,Bachelor of Science degree,"Bachelor of Science in Aeronautical Engineering (Princeton University, 1953)",NASA Astronaut; Aeronautical Engineer; Naval Officer; Aviator; Test Pilot; Vice President of American Television and Communications Company; Vice President of McDonnell Douglas,49d 3h 38m,golf; water skiing; auto racing,American,69
Peter Wisoff,Bachelor of Science degree; Master of Science degree; Doctor of Philosophy (PhD),"Bachelor of Science in Physics (University of Virginia, 1980); Master of Science in Applied Physics (Stanford University, 1982); Doctorate in Applied Physics (Stanford University, 1986)",Physicist; NASA Astronaut; Mission Specialist; Faculty Member at Rice University; Interim Principal Associate Director at Lawrence Livermore National Laboratory,44d 8h 9m,,United States,67
Philippe Perrin,,"None (École polytechnique, 1985); Test Pilot Licence (École du personnel navigant d'essais et de réception (EPNER), 1993); Air Line Pilot Certificate (None, 1995)","Pilot; Colonel, French Air Force; Engineer; Test pilot; Astronaut",13d 20h 35m,,French,62
Phạm Tuân,,"MiG-17 pilot (Krasnodar Flight School, 1967); Radar engineer (Soviet Union, None)","Infantry soldier; Pilot; Lieutenant General, Vietnam People's Air Force; Research cosmonaut; Director of the General Department of Defense Industry","7 days, 20 hours, and 42 minutes",,Vietnam,78
Pierre J. Thuot,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Physics (United States Naval Academy, 1977); Master of Science in Systems Management (University of Southern California, 1985); Advanced Management Program (Harvard Business School, 2004)","Captain, USN; NASA Astronaut; Senior Systems Engineer, Johns Hopkins University Applied Physics Laboratory; Vice President, Orbital Sciences Corporation",27d 6h 51m,boating; golf; running; music; flying; family activities,United States,70
Piers John Sellers,Bachelor of Science degree; Doctorate in Biometeorology,"BSc in Ecological Science (University of Edinburgh, 1976); PhD in Biometeorology (University of Leeds, 1981)",Meteorologist; NASA Astronaut; Director of the Earth Science Division at NASA/GSFC,35d 9h 2m,,British American,61
Pyotr Klimuk,,"None (Gagarin Air Force Academy, None); None (Lenin Military-Political Academy, None)",Pilot-cosmonaut,78d 18h 17m,,Belarusian,83
Rakesh Sharma,,"None (St. George's Grammar School, Hyderabad, None); None (Nizam College, Hyderabad, None); None (National Defence Academy, None); None (Air Force Academy, None)",Fighter pilot at IAF; Research Cosmonaut at ISRO; Test pilot at HAL,"7 days, 21 hours, 40 minutes",,India,76
Randolph James Bresnik,Bachelor of Arts degree; Master of Science degree,"Bachelor of Arts in Mathematics (The Citadel, 1989); Master of Science in Aviation Systems (University of Tennessee-Knoxville, 2002); None (Air War College, 2008)","Colonel, USMC (ret.); NASA Astronaut; Marine Aviator",149d 12h 12m,,United States,58
Reid Wiseman,Computer and Systems Engineering; Systems Engineering,"BS (Rensselaer Polytechnic Institute, 1997); MS (Johns Hopkins University, 2006)","American astronaut; Engineer; Naval aviator; Captain, US Navy; Test Pilot; Project Officer; Strike Operations Officer","165 days, 8 hours, 1 minute",go-cart driver,American,49
Reinhard Furrer,Diploma; Doctorate in Physics,"None (University of Kiel, None); Diploma in Physics (Free University of Berlin, 1969); Doctorate in Physics (Free University of Berlin, 1972)",Physicist; Astronaut; Assistant Professor in Stuttgart; Professor,7d 00h 44m,pilot; long-distance trips with one engine planes,German,
Reinhold Ewald,Diploma; Doctor of Philosophy (PhD),"Diploma in experimental physics (University of Cologne, 1983); Ph.D. with a minor degree in human physiology (University of Cologne, 1986)",Physicist; ESA astronaut; Professor for Astronautics and Space Stations,19d 16h 34min,,German,68
Rex J. Walheim,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Mechanical Engineering (University of California, Berkeley, 1984); Master of Science in Industrial Engineering (University of Houston, 1989)","Colonel, USAF; Engineer; NASA Astronaut",36d 8h 31m,snow skiing; hiking; softball; football,United States,62
Rhea Seddon,Bachelor of Arts degree; Doctor of Medicine,"Bachelor of Arts in Physiology (University of California, Berkeley, 1970); Doctor of Medicine (MD) (University of Tennessee College of Medicine, 1973)",Surgeon; NASA Astronaut; Astronaut Candidate; Assistant Chief Medical Officer,30d 2h 21m,,American,77
Richard A. Searfoss,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Aeronautical Engineering (United States Air Force Academy, 1978); Master of Science in Aeronautics (California Institute of Technology, 1979)","Colonel, USAF; NASA astronaut; Test pilot; Commercial transport pilot; Chief of safety for United Space Alliance; Contract research test pilot; T-38 instructor pilot; Test pilot instructor at the National Test Pilot School; Chief Test Pilot at XCOR",39d 3h 18m,,United States,62
Richard Alan Mastracchio,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in electrical engineering/computer science (University of Connecticut, 1982); Master of Science in electrical engineering (Rensselaer Polytechnic Institute, 1987); Master of Science in physical science (University of Houston–Clear Lake, 1991)",Engineer; NASA astronaut; Senior Director of Operations for Commercial Resupply Services at Orbital ATK; Director Of Business Development at Northrop Grumman Space Systems,227d 13h 38m,,American,65
Richard F. Gordon Jr.,Bachelor of Science degree,"Bachelor of Science in Chemistry (University of Washington, 1951); None (Naval Postgraduate School, None)",Naval Officer; Aviator; Test Pilot; NASA Astronaut; Football Executive,13d 3h 53m,water skiing; golf,American,
Richard H. Truly,Bachelor of Science degree,"Bachelor of Science in aeronautical engineering (Georgia Institute of Technology, 1959)","Fighter pilot; Engineer; Astronaut; Vice Admiral, United States Navy; Administrator of NASA",8d 7h 21m,,United States,86
Richard James Hieb,Bachelor of Arts degree; Master of Science degree,"Bachelor of Arts in math and physics (Northwest Nazarene College, 1977); Master of Science in aerospace engineering (University of Colorado at Boulder, 1979)",NASA astronaut; Mission specialist; Payload commander,31d 22h 34m,,U.S.,69
Richard M. Linnehan,Bachelor of Science degree; Doctor of Veterinary Medicine; Master's degree,"Bachelor of Science in Animal Sciences and a minor in Microbiology (University of New Hampshire, 1980); Doctor of Veterinary Medicine (The Ohio State University College of Veterinary Medicine, 1985); Internship in Exotic Animal Medicine and Comparative Pathology (Baltimore Zoo and the Johns Hopkins University, 1988); Master of Public Administration (Harvard Kennedy School at Harvard University, 2009)","Captain, USA; Veterinarian; NASA Astronaut; Management Astronaut",59d 20h 49m,various sports; outdoor activities; natural history,United States,67
Richard N. Richards,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in chemical engineering (University of Missouri, 1969); Master of Science in aeronautical systems (University of West Florida, 1970)",American naval officer; Aviator; Test pilot; Chemical engineer; NASA astronaut,"33 days, 21 hours, 32 minutes, 15 seconds",,American,79
Richard O. Covey,Engineer-Physicist; Aeronautics and Astronautics,"Bachelor of Science in Engineering Science with a major in Astronautical Engineering (United States Air Force Academy, 1968); Master of Science in Aeronautics and Astronautics (Purdue University, 1969)","Colonel, United States Air Force; NASA Astronaut; Chief Operating Officer of United Space Alliance; Chief Executive Officer of United Space Alliance",26d 21h 9m,,U.S,79
Richard R. Arnold,Bachelor of Science degree; Master of Science degree,"None (Bowie High School, Bowie, Maryland, 1981); B.S., Accounting (Frostburg State University, Maryland, 1985); Completed teacher certification program (Frostburg State University, Maryland, 1988); M.S., Marine, Estuarine, & Environmental Sciences (University of Maryland, 1992)",American educator; NASA astronaut; Oceanographic Technician; Science teacher,209d 13h 29m,,American,61
Rick Douglas Husband,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in mechanical engineering (Texas Tech University, 1980); Master of Science (California State University, Fresno, None)","American astronaut; Fighter pilot; Colonel, USAF",25d 17h 33m,,American,
Robert A. Parker,Bachelor of Arts degree; Doctor of Philosophy (PhD),"BA in Astronomy and Physics (Amherst College, 1958); PhD in Astronomy (California Institute of Technology, 1962)",Physicist; Astronomer; Former Director of the NASA Management Office; Retired NASA Astronaut; Mission Specialist,19d 6h 52m,,American,88
Robert Brent Thirsk,Bachelor of Science degree; Master of Science degree; MD; MBA; DEng; Honorary Doctorate,"BS in Mechanical Engineering (University of Calgary, 1976); MS in Mechanical Engineering (Massachusetts Institute of Technology, 1978); MD (McGill University, 1982); MBA (MIT Sloan School of Management, 1998); Honorary Doctorate (University of Calgary, 2009); DEng (Carleton University, 2019)","Engineer; Physician; Astronaut; Vice President, Public, Government and Institute Affairs (Canadian Institutes of Health Research); Chancellor of the University of Calgary","204 days, 18 hours, 29 minutes",flying; hockey; squash; playing the piano,Canada,72
Robert C. Springer,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Naval Science (United States Naval Academy, 1964); Master of Science in Operations Research and Systems Analysis (Naval Postgraduate School, 1971)","Colonel, USMC; Astronaut; Test Pilot",9d 21h 32m,,American,83
Robert D. Cabana,Bachelor of Science degree,"Bachelor of Science in Mathematics (United States Naval Academy, 1971)","Former Associate Administrator of NASA; Retired NASA Astronaut; Chief of the Astronaut Office; Director of the John F. Kennedy Space Center; Naval Flight Officer; Naval Aviator; Colonel, USMC",37d 22h 42min,,U.S.,76
Robert F. Overmyer,Bachelor of Science degree; Master of Science degree,"None (Westlake High School, 1954); Bachelor of Science in physics (Baldwin–Wallace College, 1958); Master of Science in aeronautics with a major in aeronautical engineering (U.S. Naval Postgraduate School, 1964)",Test pilot; Naval aviator; Aeronautical engineer; Physicist; United States Marine Corps officer; NASA astronaut,12d 2h 22m,,American,59
Robert J. Cenker,Bachelor of Science degree; Master of Science degree,"B.S. in Aerospace Engineering (Penn State, 1970); M.S. in Aerospace Engineering (Penn State, 1973); M.S. in Electrical Engineering (Rutgers University, 1977)",Engineer; Aerospace Systems Consultant; Former Astronaut,6d 02h 03m,,American,76
Robert L. Gibson,Associate degree; Bachelor of Science degree,"Associate degree in engineering science (Suffolk County Community College, 1966); Bachelor of Science in aeronautical engineering (California Polytechnic State University, 1969)",American naval officer; aviator; test pilot; aeronautical engineer; NASA astronaut; Chief of the Astronaut Office; professional pilot,36d 4h 15m,home-built aircraft; Formula One Air Racing; Unlimited Class Air Racing; running; surfing,American,78
Robert L. Stewart,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in mathematics (University of Southern Mississippi, 1964); Master of Science in aerospace engineering (University of Texas at Arlington, 1972)","Brigadier General, USA; Astronaut; Army Aviator; Experimental Test Pilot",12d 0h 49m,woodworking; photography; skiing,United States,83
Robert Laurel Crippen,Bachelor of Science degree,"Bachelor of Science (University of Texas, 1960)","Retired naval officer; Aviator; Test pilot; Aerospace engineer; Astronaut; Director, Space Shuttle, NASA; Director of the Kennedy Space Center; Vice President of Lockheed Martin Information Systems; President of Thiokol Propulsion",23d 13h 46m,flying; computers,American,88
