name,degrees,education,occupations,time_in_space,interests,nationality,age
Mary Ellen Weber,"['Bachelor of Science in Chemical Engineering (Purdue University, 1984)', 'Doctor of Philosophy in Physical Chemistry (University of California, Berkeley, 1988)', 'Master of Business Administration (Southern Methodist University, 2002)']","[{'institution': 'Purdue University', 'year': 1984, 'qualification': 'Bachelor of Science in Chemical Engineering'}, {'institution': 'University of California, Berkeley', 'year': 1988, 'qualification': 'Doctor of Philosophy in Physical Chemistry'}, {'institution': 'Southern Methodist University', 'year': 2002, 'qualification': 'Master of Business Administration'}]","['Executive', 'Scientist', 'Aviator', 'Former NASA Astronaut']",18d 18h 30m,"['Skydiving', 'Skiing', 'Scuba diving']",American,63.0
Mary L. Cleave,"['Biological Sciences (Colorado State University, 1969)', 'Microbial Ecology (Utah State University, 1975)', 'Civil and Environmental Engineering (Utah State University, 1979)']","[{'institution': 'Colorado State University', 'year': 1969, 'qualification': 'Bachelor of Science in Biological Sciences'}, {'institution': 'Utah State University', 'year': 1975, 'qualification': 'Master of Science in Microbial Ecology'}, {'institution': 'Utah State University', 'year': 1979, 'qualification': 'Doctorate in Civil and Environmental Engineering'}]","['Engineer', 'NASA Astronaut', 'Associate Administrator, Science Mission Directorate, NASA']",10d 22h 2m,[],American,76.0
Maurizio Cheli,"[""Master's degree in aerospace engineering (University of Houston)""]","[{'institution': 'Italian Air Force Academy', 'year': None, 'qualification': None}, {'institution': ""Empire Test Pilots' School, England"", 'year': 1988, 'qualification': 'Test Pilot Training'}, {'institution': 'University of Rome La Sapienza', 'year': None, 'qualification': 'Geophysics'}, {'institution': 'University of Houston', 'year': None, 'qualification': ""Master's degree in aerospace engineering""}]","['Test pilot', 'Lieutenant colonel, Italian Air Force', 'Astronaut', 'Chief Test Pilot for combat aircraft']",15d 17h 41m,[],Italy,66.0
Michael A. Baker,"['Bachelor of Science in Aerospace Engineering (University of Texas, 1975)']","[{'institution': 'University of Texas', 'year': 1975, 'qualification': 'Bachelor of Science in Aerospace Engineering'}]","['Retired Captain, United States Navy', 'NASA Astronaut', ""International Space Station Program Manager for International and Crew Operations at NASA's Johnson Space Center""]",40d 4h 59m,[],United States,71.0
Michael Barratt,"['BS in Zoology (University of Washington, 1981)', 'MD (Northwestern University, 1985)', 'MS in Aerospace Medicine (Wright State University, 1991)']","[{'institution': 'University of Washington', 'year': 1981, 'qualification': 'BS in Zoology'}, {'institution': 'Northwestern University', 'year': 1985, 'qualification': 'MD'}, {'institution': 'Wright State University', 'year': 1991, 'qualification': 'MS in Aerospace Medicine'}]","['Physician', 'NASA Astronaut', 'Flight Surgeon', 'Project Physician']","446 days, 15 hours, 21 minutes","['family and church activities', 'writing', 'sailing', 'boat restoration and maintenance']",American,66.0
Michael Coats,"['Bachelor of Science (United States Naval Academy, 1968)', 'Master of Science in Administration of Science and Technology (George Washington University, 1977)', 'Master of Science in Aeronautical Engineering (U.S. Naval Postgraduate School, 1979)']","[{'institution': 'United States Naval Academy', 'year': 1968, 'qualification': 'Bachelor of Science'}, {'institution': 'George Washington University', 'year': 1977, 'qualification': 'Master of Science in Administration of Science and Technology'}, {'institution': 'U.S. Naval Postgraduate School', 'year': 1979, 'qualification': 'Master of Science in Aeronautical Engineering'}]","['NASA astronaut', 'Director of the Johnson Space Center', 'Captain, USN']",19d 7h 56m,[],United States,79.0
Michael E. Fossum,"['Mechanical Engineering (Texas A&M University, 1980)', 'Physical Science (Space Science) (University of Houston)']","[{'institution': 'Texas A&M University', 'year': 1980, 'qualification': 'Mechanical Engineering'}, {'institution': 'University of Houston', 'year': None, 'qualification': 'Physical Science (Space Science)'}]","['Astronaut', 'Engineer', 'Chief Operating Officer of Texas A&M University at Galveston', 'Vice President', 'Superintendent of Texas A&M Maritime Academy', 'Colonel, United States Air Force Reserve']",193d 19h 2m,"['Boy Scouts of America', 'Order of the Arrow', 'Scoutmaster']",United States,67.0
Michael Fincke,"['Bachelor of Science in Aeronautics and Astronautics (Massachusetts Institute of Technology, 1989)', 'Bachelor of Science in Earth, Atmospheric and Planetary Sciences (Massachusetts Institute of Technology, 1989)', 'Master of Science in Aeronautics and Astronautics (Stanford University, 1990)', 'Master of Science in Planetary Geology (University of Houston, 2001)']","[{'institution': 'Sewickley Academy', 'year': 1985, 'qualification': None}, {'institution': 'Massachusetts Institute of Technology', 'year': 1989, 'qualification': 'Bachelor of Science in Aeronautics and Astronautics'}, {'institution': 'Massachusetts Institute of Technology', 'year': 1989, 'qualification': 'Bachelor of Science in Earth, Atmospheric and Planetary Sciences'}, {'institution': 'Stanford University', 'year': 1990, 'qualification': 'Master of Science in Aeronautics and Astronautics'}, {'institution': 'University of Houston–Clear Lake', 'year': 2001, 'qualification': 'Master of Science in Planetary Geology'}, {'institution': 'El Camino College', 'year': None, 'qualification': None}, {'institution': 'Community College of Allegheny County', 'year': None, 'qualification': None}, {'institution': 'Moscow Aviation Institute', 'year': None, 'qualification': None}]","['Astronaut', 'Retired United States Air Force Colonel', 'Space Systems Engineer', 'Space Test Engineer', 'Flight Test Engineer']","429 days, 13 hours, 24 minutes",['Conversant in Japanese and Russian'],American,58.0
Michael Foale,"[""Natural Sciences (BA, Queens' College, Cambridge, 1978)"", ""Laboratory Astrophysics (PhD, Queens' College, Cambridge, 1982)""]","[{'institution': ""The King's School, Canterbury"", 'year': None, 'qualification': None}, {'institution': ""Queens' College, Cambridge"", 'year': 1978, 'qualification': 'BA in Natural Sciences'}, {'institution': ""Queens' College, Cambridge"", 'year': 1982, 'qualification': 'PhD in Laboratory Astrophysics'}]","['Astrophysicist', 'NASA Astronaut', 'Commander, International Space Station Expedition 8', 'Deputy Associate Administrator for Exploration Operations at NASA HQ']",374 days 11 hours 19 minutes,"['windsurfing', 'gliding', 'cross-country skiing']",British American,68.0
Michael J. Bloomfield,"[""Bachelor's degree in Engineering Mechanics (United States Air Force Academy)"", ""Master's degree in Engineering Management (Old Dominion University, 1993)""]","[{'institution': 'United States Air Force Academy', 'year': None, 'qualification': ""Bachelor's degree in Engineering Mechanics""}, {'institution': 'Old Dominion University', 'year': 1993, 'qualification': ""Master's degree in Engineering Management""}]","['Astronaut', 'F-15 Fighter Pilot', 'Test Pilot', 'Colonel, USAF', 'Chief of Safety for the Astronaut Office', 'Chief Instructor Astronaut', 'Director of Shuttle Operations', 'Chief of the Shuttle Branch', 'Deputy Director of Flight Crew Operations', 'Vice President of the Constellation Program at ATK', 'Vice President and General Manager of Oceaneering Space Systems', 'Board of Directors at Space Center Houston']",32d 11h 2m,[],American,66.0
Michael J. McCulley,"['Bachelor of Science in Metallurgical Engineering (Purdue University, 1970)', 'Master of Science in Metallurgical Engineering (Purdue University, 1970)']","[{'institution': 'Purdue University', 'year': 1970, 'qualification': 'Bachelor of Science in Metallurgical Engineering'}, {'institution': 'Purdue University', 'year': 1970, 'qualification': 'Master of Science in Metallurgical Engineering'}]","['American naval officer', 'Aviator', 'Test pilot', 'Metallurgical engineer', 'NASA astronaut', 'President and CEO of United Space Alliance']","4 days, 23 hours, 41 minutes",[],American,82.0
Michael James Foreman,"['Bachelor of Science in Aerospace Engineering (United States Naval Academy, 1979)', 'Master of Science in Aeronautical Engineering (Naval Postgraduate School, 1986)']","[{'institution': 'United States Naval Academy', 'year': 1979, 'qualification': 'Bachelor of Science in Aerospace Engineering'}, {'institution': 'Naval Postgraduate School', 'year': 1986, 'qualification': 'Master of Science in Aeronautical Engineering'}]","['U.S. Navy Pilot', 'NASA Astronaut', 'Local Politician', 'Mayor of Friendswood, Texas']",more than 637 hours,[],United States,68.0
Michael James Massimino,"['Bachelor of Science in industrial engineering (Columbia University, 1984)', 'Master of Science in mechanical engineering (Massachusetts Institute of Technology, 1988)', 'Master of Science in Technology and Public Policy (Massachusetts Institute of Technology, 1988)', 'Degree of Mechanical Engineer (Massachusetts Institute of Technology, 1990)', 'Doctor of Philosophy in mechanical engineering (Massachusetts Institute of Technology, 1992)']","[{'institution': 'Columbia University', 'year': 1984, 'qualification': 'Bachelor of Science in industrial engineering'}, {'institution': 'Massachusetts Institute of Technology', 'year': 1988, 'qualification': 'Master of Science in mechanical engineering'}, {'institution': 'Massachusetts Institute of Technology', 'year': 1988, 'qualification': 'Master of Science in Technology and Public Policy'}, {'institution': 'Massachusetts Institute of Technology', 'year': 1990, 'qualification': 'Degree of Mechanical Engineer'}, {'institution': 'Massachusetts Institute of Technology', 'year': 1992, 'qualification': 'Doctor of Philosophy in mechanical engineering'}]","['Professor of mechanical engineering at Columbia University', 'NASA astronaut', 'Senior advisor of space programs at the Intrepid Sea, Air & Space Museum']",23d 19h 47m,[],United States,63.0
Michael L. Gernhardt,"['Bachelor of Science in Physics (Vanderbilt University, 1978)', 'Master of Science in Bioengineering (University of Pennsylvania, 1983)', 'Doctorate in Bioengineering (University of Pennsylvania, 1991)']","[{'institution': 'Vanderbilt University', 'year': 1978, 'qualification': 'Bachelor of Science in Physics'}, {'institution': 'University of Pennsylvania', 'year': 1983, 'qualification': 'Master of Science in Bioengineering'}, {'institution': 'University of Pennsylvania', 'year': 1991, 'qualification': 'Doctorate in Bioengineering'}]","['NASA astronaut', 'Manager of the Environmental Physiology Laboratory', 'Principal Investigator of the Prebreathe Reduction Program', 'Member of the astronaut office EVA branch', 'Professional diver', 'Project engineer']",43d 7h 1m,"['running', 'swimming', 'flying', 'fishing', 'scuba diving']",U.S.,69.0
Michael López-Alegría,"['Bachelor of Science in Systems Engineering (United States Naval Academy, 1980)', 'Master of Science in Aeronautical Engineering (U.S. Naval Postgraduate School, 1988)']","[{'institution': 'United States Naval Academy', 'year': 1980, 'qualification': 'Bachelor of Science in Systems Engineering'}, {'institution': 'Naval Postgraduate School', 'year': 1988, 'qualification': 'Master of Science in Aeronautical Engineering'}]","['Astronaut', 'Test Pilot', 'Commercial Astronaut', 'Captain, USN', 'Independent Consultant']","296 days, 16 hours and 15 minutes",[],American Spanish,67.0
Michael P. Anderson,"['Bachelor of Science in Physics and Astronomy (University of Washington, 1981)', 'Master of Science in Physics (Creighton University, 1990)']","[{'institution': 'University of Washington', 'year': 1981, 'qualification': 'Bachelor of Science in Physics and Astronomy'}, {'institution': 'Creighton University', 'year': 1990, 'qualification': 'Master of Science in Physics'}]","['Lieutenant Colonel, USAF', 'NASA Astronaut']",24d 18h 8m,[],United States,
Michael R. Clifford,"['Bachelor of Science (United States Military Academy, 1974)', 'Master of Science in Aerospace Engineering (Georgia Institute of Technology, 1982)']","[{'institution': 'United States Military Academy', 'year': 1974, 'qualification': 'Bachelor of Science'}, {'institution': 'Georgia Institute of Technology', 'year': 1982, 'qualification': 'Master of Science in Aerospace Engineering'}]","['United States Army Officer', 'NASA Astronaut', 'Master Army Aviator', 'Space Shuttle Vehicle Integration Engineer']",27d 18h 24m,[],United States,
Michael S. Hopkins,"['Bachelor of Science in Aerospace Engineering (University of Illinois, Urbana-Champaign, 1991)', 'Master of Science in Aerospace Engineering (Stanford University, 1992)']","[{'institution': 'University of Illinois, Urbana-Champaign', 'year': 1991, 'qualification': 'Bachelor of Science in Aerospace Engineering'}, {'institution': 'Stanford University', 'year': 1992, 'qualification': 'Master of Science in Aerospace Engineering'}]","['Colonel, United States Space Force', 'Former NASA Astronaut']",333d 12h 54m,[],United States,56.0
Michael T. Good,"['Aerospace Engineering (University of Notre Dame, 1984)', 'Aerospace Engineering (University of Notre Dame, 1986)']","[{'institution': 'University of Notre Dame', 'year': 1984, 'qualification': 'B.S. in Aerospace Engineering'}, {'institution': 'University of Notre Dame', 'year': 1986, 'qualification': 'M.S. in Aerospace Engineering'}]","['Colonel, USAF (ret.)', 'Astronaut', 'Engineer']",24d 18h 6m,[],U.S.,62.0
